hour,run_id,pipeline,call_count,tokens_total,tokens_input,tokens_output,tokens_cached,models,source_type
2026-03-04 05:00,1d2700d73bcd4d42b5259931cde464e1,recipe.schemaorg.v1,2,17766,14274,3492,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,c06d74499a0745bdbfa1e0cd6117715d,recipe.final.v1,2,241690,229538,12152,201216,gpt-5.3-codex-spark,worker
2026-03-04 05:00,aaddb14d05f2479080f77851e8ed0fdb,recipe.chunking.v1,4,31018,28344,2674,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,92593a1b7c0a47dcb189a73fd6016c72,recipe.schemaorg.v1,4,31600,27436,4164,11264,gpt-5.3-codex-spark,worker
2026-03-04 05:00,0870e79e74fc470aa24ad1a9154ebac3,recipe.final.v1,2,1136862,1120354,16508,1029632,gpt-5.3-codex-spark,worker
2026-03-04 05:00,3439e94b7da2456fa1210b808449b642,recipe.chunking.v1,2,14644,13634,1010,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,0c1e712e5bbd4882836a5e10a80fb302,recipe.schemaorg.v1,2,17896,14274,3622,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,47e1c59085494c578d12e4fffb92b681,recipe.final.v1,2,24406,12672,11734,12288,gpt-5.3-codex-spark,worker
2026-03-04 05:00,0b050efd35514a9db78a8206eb10f0f5,recipe.chunking.v1,2,14752,13634,1118,13312,gpt-5.3-codex-spark,worker
2026-03-04 05:00,c18494e5d3384c4681b0e23e1fa337ca,recipe.schemaorg.v1,2,19740,14274,5466,14080,gpt-5.3-codex-spark,worker
2026-03-04 05:00,58e9b776978746d99494f0ef0feb5520,recipe.chunking.v1,2,14960,13634,1326,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,13ea615be996401fb63bf39bfa230dbb,recipe.schemaorg.v1,2,17798,14274,3524,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,56a0d71a154a4883a767ae234b614cf3,recipe.final.v1,2,2243766,2222658,21108,2073344,gpt-5.3-codex-spark,worker
2026-03-04 05:00,38ce635f5cb0410b88cc53ed995b38ab,recipe.chunking.v1,2,15326,13888,1438,11264,gpt-5.3-codex-spark,worker
2026-03-04 05:00,dc10ced2db5e41ee958892acb8a1b40b,recipe.schemaorg.v1,2,19170,13660,5510,11264,gpt-5.3-codex-spark,worker
2026-03-04 05:00,2984f48c935f4436b5ca6d9a0e61bcfb,recipe.chunking.v1,2,15168,13634,1534,0,gpt-5.3-codex-spark,worker
2026-03-04 05:00,bf833db1910142b1a4ea9d4aa708fe2e,recipe.schemaorg.v1,2,18616,14274,4342,14080,gpt-5.3-codex-spark,worker
2026-03-04 05:00,6098ad4725da4b07b1f3b895e4a6cbc0,recipe.final.v1,2,2767636,2738334,29302,2599680,gpt-5.3-codex-spark,worker
2026-03-04 04:00,0216b7f5b97142f4ac53465a8cd2530b,recipe.chunking.v1,92,633532,633532,0,0,gpt-5.3-codex-spark,worker
2026-03-04 04:00,666095b4a880461eb3a18686a05f01e2,recipe.chunking.v1,60,781936,739412,42524,315392,gpt-5.3-codex-spark,worker
2026-03-04 04:00,667a1d418bd8494d99d6e1184ed6630f,recipe.schemaorg.v1,68,750674,618200,132474,281600,gpt-5.3-codex-spark,worker
2026-03-04 04:00,8455fc0a4b3744248cb70fa4a5bcde61,recipe.chunking.v1,134,1955346,1731672,223674,754688,gpt-5.3-codex-spark,worker
2026-03-04 04:00,f4641662b0124cf798e5e129025ec689,recipe.schemaorg.v1,134,1295054,1085664,209390,732160,gpt-5.3-codex-spark,worker
2026-03-04 04:00,4affcb1fe223440093dee9340868ec2b,recipe.final.v1,110,8175458,7859354,316104,7123200,gpt-5.3-codex-spark,worker
2026-03-04 04:00,97fc9a39d87b4c12bcdc6d2a52839ce7,recipe.chunking.v1,40,509220,489882,19338,214016,gpt-5.3-codex-spark,worker
2026-03-04 04:00,230cc39ab94a460e9d3a033e05656e1d,recipe.schemaorg.v1,40,467520,339942,127578,229376,gpt-5.3-codex-spark,worker
2026-03-04 04:00,b971f66c1a27410cb0858ead9a736ff1,recipe.final.v1,36,1523146,1431192,91954,1273600,gpt-5.3-codex-spark,worker
2026-03-04 04:00,89dc23b9289d4a3c841097320aad6ce5,recipe.chunking.v1,36,498222,462586,35636,202752,gpt-5.3-codex-spark,worker
2026-03-04 04:00,837fdd432d684e8eb3818d72b3790326,recipe.schemaorg.v1,36,503958,389766,114192,202752,gpt-5.3-codex-spark,worker
2026-03-04 04:00,48c03c63ffb2413284ccd72397134b88,recipe.final.v1,30,1716168,1619356,96812,1446400,gpt-5.3-codex-spark,worker
2026-03-04 04:00,7219571090514b5f9490fe340f21ba1f,recipe.chunking.v1,78,1257448,1181314,76134,439296,gpt-5.3-codex-spark,worker
2026-03-04 04:00,8d57d4f6ca8a4bfb9b0b16df2c0be908,recipe.schemaorg.v1,78,881002,670442,210560,439296,gpt-5.3-codex-spark,worker
2026-03-04 04:00,4f8c8a4cbaf14617a7649b8ed4500146,recipe.final.v1,70,3749578,3572350,177228,3177984,gpt-5.3-codex-spark,worker
2026-03-04 04:00,93598b76cc18443c8bc3773d37daa6fa,recipe.chunking.v1,98,1299628,1209870,89758,551936,gpt-5.3-codex-spark,worker
2026-03-04 04:00,ae22164dcdb64f43adf846d170243005,recipe.schemaorg.v1,98,1025222,838406,186816,551936,gpt-5.3-codex-spark,worker
2026-03-04 04:00,b00876c761424807ba4f09066661e878,recipe.final.v1,96,5380884,5123936,256948,4598272,gpt-5.3-codex-spark,worker
2026-03-04 03:00,dd86f81f77134dbc8a6706ef7c014a83,recipe.chunking.v1,34,476892,446284,30608,123904,gpt-5.3-codex-spark,worker
2026-03-04 03:00,9c4b41d44df64c88aebf214b4793891d,recipe.schemaorg.v1,34,464692,372886,91806,101376,gpt-5.3-codex-spark,worker
2026-03-04 03:00,cf00be57d8684181b8b3217afe890a71,recipe.final.v1,34,4190200,4075058,115142,3579648,gpt-5.3-codex-spark,worker
2026-03-04 03:00,a772f0398aa44ab389a863675fca583d,recipe.chunking.v1,34,472984,446284,26700,184064,gpt-5.3-codex-spark,worker
2026-03-04 03:00,55fe419654024aa2b35882e22e204efd,recipe.schemaorg.v1,34,466364,370700,95664,169216,gpt-5.3-codex-spark,worker
2026-03-04 03:00,14bfe984a2394a1abc66265c192a1996,recipe.final.v1,34,1156584,1051976,104608,901376,gpt-5.3-codex-spark,worker
2026-03-04 03:00,6f27f653b39045498ce9ae6501c86b94,recipe.chunking.v1,34,490912,446284,44628,180224,gpt-5.3-codex-spark,worker
2026-03-04 03:00,7fe28e3eddf2407f9fd93de6ab89fae9,recipe.schemaorg.v1,34,475556,380248,95308,197632,gpt-5.3-codex-spark,worker
2026-03-04 03:00,5fb840473dc645ea878c97d4d4fff61f,recipe.final.v1,2,518948,507894,11054,449024,gpt-5.3-codex-spark,worker
2026-03-04 03:00,d85e07af039546b9bda203c4348691e2,recipe.chunking.v1,36,494394,462586,31808,202752,gpt-5.3-codex-spark,worker
2026-03-04 03:00,7cb64ba01878468699d0b6a874d374fa,recipe.schemaorg.v1,36,512310,389974,122336,191488,gpt-5.3-codex-spark,worker
2026-03-04 03:00,36810d3bdf784d799096769b9ee5f471,recipe.final.v1,28,3138424,3046184,92240,2772992,gpt-5.3-codex-spark,worker
2026-03-04 03:00,a204545d427d44d1884c867dc77197cd,recipe.chunking.v1,40,508002,489882,18120,225280,gpt-5.3-codex-spark,worker
2026-03-04 03:00,3412409585dc4375886864a9856b031c,recipe.schemaorg.v1,40,477898,339942,137956,225280,gpt-5.3-codex-spark,worker
2026-03-04 03:00,6731171590014929a40bc3c94f5272f0,recipe.final.v1,34,2200920,2120866,80054,1881344,gpt-5.3-codex-spark,worker
2026-03-04 01:00,97b36f3396fe4ce5af4853be617273cd,recipe.chunking.v1,36,533360,522994,10366,200448,gpt-5.2,worker
2026-03-04 01:00,b1e4fa7991104e4686e1fc1efe533f1d,recipe.schemaorg.v1,36,533262,453868,79394,249344,gpt-5.2,worker
2026-03-04 01:00,0339c6c9be214223928ab9f70bf4b78a,recipe.final.v1,32,2087642,2023714,63928,1783552,gpt-5.2,worker
2026-03-04 01:00,34024d59508845078ad2a8267b3f3dc7,recipe.chunking.v1,36,425684,412978,12706,49152,gpt-5.1-codex-mini,worker
2026-03-04 01:00,f63f0fbd3a06469eaabb77d59eee897c,recipe.schemaorg.v1,36,622800,499946,122854,224256,gpt-5.1-codex-mini,worker
2026-03-04 01:00,cc158a86d1a14df4837d1ea7a13ac6c9,recipe.final.v1,32,11595384,11304088,291296,9443328,gpt-5.1-codex-mini,worker
2026-03-04 01:00,ec1cd64a39f94b158744127352288a9e,recipe.chunking.v1,36,504852,462586,42266,135936,gpt-5.3-codex-spark,worker
2026-03-04 01:00,9742204605b14305a4a4933b679a1732,recipe.schemaorg.v1,36,518490,394594,123896,142080,gpt-5.3-codex-spark,worker
2026-03-04 01:00,3005e23655b44fd9aad2daecbf6847b5,recipe.final.v1,30,1684696,1570782,113914,1339904,gpt-5.3-codex-spark,worker
2026-03-04 00:00,b39066ed5f8b435b87d0c04128dab019,recipe.chunking.v1,34,521150,446284,74866,45056,gpt-5.3-codex-spark,worker
2026-03-04 00:00,21fe2194cef14f1d9bedcd449a879e78,recipe.schemaorg.v1,34,555448,380248,175200,22528,gpt-5.3-codex-spark,worker
2026-03-04 00:00,0d3cedd6368d48d7ae1da71e29c00e19,recipe.final.v1,34,30598808,30113728,485080,28057600,gpt-5.3-codex-spark,worker
2026-03-04 00:00,4a04c55b74e849848437595901c58774,recipe.chunking.v1,36,508014,462586,45428,77056,gpt-5.3-codex-spark,worker
2026-03-04 00:00,7121584ca205412ebe7ecf5dce981060,recipe.schemaorg.v1,36,527148,408192,118956,67584,gpt-5.3-codex-spark,worker
